timestamp_precise,plate_number,vehicle_type,cross_count,reverse_count
2024-04-29 02:09:10.575,กก4435,pickup,0,0
2024-04-29 02:10:17.760,1กท9770,suv,0,0
2024-04-29 02:28:48.181,6กจ2543,suv,2,1
2024-04-29 02:30:57.229,1มข4258,taxi,0,0
2024-04-29 02:32:02.091,ทก7425,pickup,0,0
2024-04-29 02:32:09.729,ทห4000,pickup,0,0
2024-04-29 02:39:08.895,1มค3722,taxi,0,0
2024-04-29 02:39:49.124,14570,tuktuk,0,0
2024-04-29 02:44:01.617,สก4353,motorbike,0,0
2024-04-29 02:45:21.520,2กช2606,sedan,1,0
2024-04-29 02:48:15.591,ทฬ1862,taxi,1,2
2024-04-29 02:54:50.804,1มก3392,taxi,3,0
2024-04-29 02:54:58.162,1กล890,sedan,1,0
2024-04-29 02:57:57.316,1ฒต9585,bus,0,0
2024-04-29 03:05:05.763,1ฒว41,other,0,0
2024-04-29 03:06:04.867,1มฆ1193,taxi,0,2
2024-04-29 03:09:45.925,ทห5937,sedan,0,0
2024-04-29 03:17:03.331,มฎ2288,taxi,1,0
2024-04-29 03:18:05.714,ทก6451,pickup,0,0
2024-04-29 03:18:42.703,ฎว5007,pickup,0,0
2024-04-29 03:19:30.050,339833,pickup,1,0
2024-04-29 03:55:17.640,ทท199,taxi,0,0
2024-04-29 05:49:22.292,1ขว6452,pickup,0,0
2024-04-29 05:58:13.951,321105,sedan,0,0
2024-04-29 06:20:54.750,1กฌ9117,pickup,0,0
2024-04-29 06:25:12.002,1มค8292,taxi,2,0
2024-04-29 06:32:08.490,1นง400,pickup,0,1
2024-04-29 06:41:45.376,325167,pickup,16,4
2024-04-29 06:43:16.470,315234,bus,0,0
2024-04-29 06:46:35.739,สก5815,other,0,0
2024-04-29 07:10:09.243,สก5815,tuktuk,0,0
2024-04-29 07:12:35.322,3ง4078,bus,1,0
2024-04-29 07:13:02.794,333915,van,0,0
2024-04-29 07:42:44.359,317194,van,0,1
2024-04-29 07:43:20.749,1มก3812,taxi,0,0
2024-04-29 07:45:01.125,1นก355,van,1,3
2024-04-29 07:46:54.213,สก323,tuktuk,0,0
2024-04-29 07:49:54.923,ก7758,van,0,0
2024-04-29 07:51:22.664,320434,van,0,0
2024-04-29 07:52:57.516,300795,tuktuk,0,0
2024-04-29 07:53:31.746,1นง400,van,0,0
2024-04-29 08:29:57.681,340223,pickup,6,0
2024-04-29 08:34:47.646,1มค5517,taxi,0,0
2024-04-29 08:41:06.387,สก2764,motorbike,0,0
2024-04-29 08:42:31.083,ฮน8403,van,6,2
2024-04-29 08:47:26.604,มช8262,taxi,0,0
2024-04-29 08:48:36.065,9กก6993,sedan,1,0
2024-04-29 09:01:57.532,1ขบ2908,sedan,3,0
2024-04-29 09:03:49.781,1มก1535,taxi,1,0
2024-04-29 09:03:56.499,5กช8358,sedan,1,1
2024-04-29 09:06:38.298,ณข2885,pickup,1,0
2024-04-29 09:12:59.075,3ง5518,tuktuk,1,0
2024-04-29 09:14:00.938,ฮบ8524,van,1,1
2024-04-29 09:27:00.491,32222,truck,0,0
2024-04-29 09:27:36.601,2ฒฎ3772,pickup,0,0
2024-04-29 09:34:12.574,กย5057,pickup,1,0
2024-04-29 09:36:33.219,1กศ4341,sedan,1,0
2024-04-29 09:44:05.816,30620,sedan,0,0
2024-04-29 09:45:55.111,1นจ6479,pickup,0,0
2024-04-29 10:02:19.207,สก842,tuktuk,1,0
2024-04-29 10:12:46.719,ส2873,truck,0,0
2024-04-29 10:15:50.871,ม1130,pickup,0,0
2024-04-29 10:24:21.692,1ก975,motorbike,0,0
2024-04-29 10:25:40.234,1มก2143,taxi,0,0
2024-04-29 10:30:44.353,1000,motorbike,0,0
2024-04-29 10:43:00.834,1ขน6884,sedan,1,1
2024-04-29 10:43:26.827,กต8158,sedan,2,0
2024-04-29 10:43:51.580,127,motorbike,0,0
2024-04-29 10:44:36.727,ขฟ7754,sedan,0,1
2024-04-29 10:45:34.115,9กพ2844,sedan,3,0
2024-04-29 10:50:57.230,1นค8151,van,0,1
2024-04-29 11:26:40.377,กก4100,hatchback,1,2
2024-04-29 11:35:24.518,บบ581,tuktuk,0,0
2024-04-29 11:35:27.360,1มก9013,taxi,0,1
2024-04-29 11:42:15.727,ส025,tuktuk,0,3
2024-04-29 12:45:43.753,1มค1821,taxi,0,0
2024-04-29 12:57:25.205,ทข1140,taxi,1,1
2024-04-29 12:59:30.569,กห1262,sedan,1,0
2024-04-29 13:05:33.636,6กค9644,bus,0,0
2024-04-29 13:12:17.607,ทษ4304,sedan,1,0
2024-04-29 13:13:32.066,1มค4455,taxi,0,0
2024-04-29 13:15:10.363,1ก5320,taxi,1,1
2024-04-29 13:16:12.945,11079,taxi,0,0
2024-04-29 13:16:54.293,สษ2278,sedan,0,0
2024-04-29 13:19:10.255,ท33911,sedan,0,0
2024-04-29 13:19:38.127,ทอ4447,sedan,0,1
2024-04-29 13:31:12.745,กพ1110,suv,0,0
2024-04-29 13:31:17.223,1ง2675,taxi,0,0
2024-04-29 13:31:26.221,3กข5116,taxi,0,0
2024-04-29 13:32:09.209,302072,sedan,0,0
2024-04-29 13:35:22.719,3ก07100,pickup,0,0
2024-04-29 13:35:44.554,1ก5012,taxi,0,0
2024-04-29 13:40:40.994,4ขส1302,pickup,3,0
2024-04-29 13:42:15.727,สธ1051,taxi,3,0
2024-04-29 13:44:01.338,3กก2451,sedan,0,0
2024-04-29 13:45:45.353,105200,pickup,0,0
2024-04-29 13:46:10.747,กฉ357,taxi,1,0
2024-04-29 13:46:54.974,102225,pickup,0,0
2024-04-29 13:46:58.852,2กณ6519,pickup,0,0
2024-04-29 13:47:33.962,บจ1244,taxi,0,0
2024-04-29 13:47:44.959,3275,taxi,0,0
2024-04-29 13:47:52.077,302440,taxi,0,0
2024-04-29 13:47:54.956,กก4505,pickup,0,0
2024-04-29 13:47:57.955,1กค1077,tuktuk,0,0
2024-04-29 13:48:13.191,ส03081,taxi,0,0
2024-04-29 13:48:40.303,ขษ5742,pickup,2,0
2024-04-29 13:49:41.166,1กก2556,taxi,0,0
2024-04-29 13:55:37.394,302145,taxi,0,0
2024-04-29 13:56:04.387,1ว3152,taxi,0,0
2024-04-29 13:57:25.724,106048,suv,3,2
2024-04-29 13:58:39.463,7ก06825,sedan,1,0
2024-04-29 14:05:51.991,สง4940,bus,0,0
2024-04-29 14:11:05.107,ทธ111,truck,0,1
2024-04-29 14:11:23.622,3ฎ338,pickup,0,0
2024-04-29 14:11:51.974,12015,taxi,0,0
2024-04-29 14:11:55.373,ทฬ2350,sedan,0,0
2024-04-29 14:13:38.465,32257,taxi,1,0
2024-04-29 14:14:19.173,บฉ701,pickup,0,1
2024-04-29 14:14:25.171,302510,sedan,1,1
2024-04-29 14:15:48.952,1มฉ389,sedan,0,0
2024-04-29 14:26:14.105,ฆข1145,pickup,0,0
2024-04-29 14:26:56.613,สฬ1005,sedan,0,0
2024-04-29 14:31:20.223,1ข1135,taxi,0,0
2024-04-29 14:31:26.341,ก3422,sedan,0,0
2024-04-29 14:32:46.319,1มร5030,taxi,0,1
2024-04-29 14:32:53.837,กก6130,sedan,2,0
2024-04-29 14:36:29.860,300222,sedan,0,0
2024-04-29 14:40:18.400,กน5120,sedan,0,0
2024-04-29 14:55:45.633,ทส5083,taxi,6,9
2024-04-29 14:57:49.518,มศ3525,taxi,0,0
2024-04-29 14:59:52.963,ทส645,sedan,0,0
2024-04-29 15:03:32.706,กก560,taxi,0,0
2024-04-29 15:10:13.562,301,taxi,0,0
2024-04-29 15:12:13.410,กร2272,hatchback,1,1
2024-04-29 15:13:49.141,302006,taxi,3,1
2024-04-29 15:14:19.853,กพ107,sedan,0,0
2024-04-29 15:18:07.593,1ก2020,pickup,0,0
2024-04-29 15:18:16.310,ฌฐ2460,suv,0,0
2024-04-29 15:28:44.342,300372,taxi,0,0
2024-04-29 15:31:23.102,ก4555,pickup,0,0
2024-04-29 15:33:46.461,5กพ6,bus,0,0
2024-04-29 16:47:00.492,กร2456,sedan,0,0
2024-04-29 02:09:07.695,บษ4425,pickup,0,1
2024-04-29 02:45:18.360,2กช2606,sedan,0,0
2024-04-29 02:50:28.997,ทฬ709,pickup,3,0
2024-04-29 02:54:48.485,1มก3392,pickup,1,0
2024-04-29 02:58:25.947,ฎษ589,pickup,2,0
2024-04-29 03:05:11.122,1มฆ1193,taxi,4,0
2024-04-29 03:19:24.251,339833,pickup,5,2
2024-04-29 03:31:15.504,335937,pickup,0,0
2024-04-29 03:52:09.968,1นก5298,pickup,0,0
2024-04-29 04:11:52.973,ฮง6151,suv,0,0
2024-04-29 06:40:01.000,325167,pickup,22,2
2024-04-29 06:43:11.192,315234,sedan,6,2
2024-04-29 07:02:02.891,สก5815,tuktuk,1,0
2024-04-29 07:13:00.355,333915,pickup,0,0
2024-04-29 07:26:53.094,314720,motorbike,0,0
2024-04-29 07:27:19.608,กง4530,other,0,0
2024-04-29 07:29:15.055,341631,pickup,11,2
2024-04-29 07:42:48.958,345351,other,0,0
2024-04-29 07:43:16.191,1มก3812,truck,2,2
2024-04-29 07:44:38.168,1นก355,pickup,0,0
2024-04-29 07:45:32.876,สก323,motorbike,0,0
2024-04-29 07:57:05.091,320211,pickup,0,0
2024-04-29 08:03:38.504,344280,pickup,14,4
2024-04-29 08:12:08.130,341354,bus,2,5
2024-04-29 08:15:06.644,345251,pickup,0,1
2024-04-29 08:40:56.629,332185,van,7,3
2024-04-29 09:13:08.792,สก1157,motorbike,0,0
2024-04-29 09:16:02.628,321406,pickup,2,12
2024-04-29 09:25:48.112,4กง217,pickup,0,0
2024-04-29 09:25:56.229,ขท3660,van,0,0
2024-04-29 09:45:52.231,1นจ6479,pickup,0,0
2024-04-29 10:15:41.634,341520,bus,10,2
2024-04-29 10:17:56.316,339050,pickup,49,32
2024-04-29 10:30:41.754,สธ531,motorbike,0,0
2024-04-29 10:44:54.164,ฐก4108,truck,3,0
2024-04-29 10:47:35.722,1นค8151,pickup,3,0
2024-04-29 10:54:34.608,สก1568,motorbike,0,0
2024-04-29 10:54:43.886,สก5839,bus,3,1
2024-04-29 10:56:11.226,สก547,truck,0,0
2024-04-29 11:10:58.509,สฐ596,motorbike,0,0
2024-04-29 11:15:35.755,30372,motorbike,0,2
2024-04-29 11:25:32.516,9กผ4057,hatchback,2,0
2024-04-29 11:34:57.602,1มก9013,bus,0,0
2024-04-29 11:52:36.083,339050,bus,2,5
2024-04-29 12:30:13.242,338441,pickup,3,1
2024-04-29 12:56:04.627,30312,other,7,4
2024-04-29 12:59:20.533,สก6848,tuktuk,0,0
2024-04-29 13:05:11.362,333115,bus,1,0
2024-04-29 13:58:32.944,7กก9320,van,0,1
2024-04-29 14:32:06.850,ทห5758,pickup,0,0
2024-04-29 02:10:06.124,5กก9770,pickup,0,0
2024-04-29 02:39:01.057,สก180,motorbike,0,0
2024-04-29 02:49:58.203,ทฬ709,pickup,3,1
2024-04-29 02:54:46.806,1มก3392,taxi,0,0
2024-04-29 02:58:18.830,ฎษ589,pickup,1,0
2024-04-29 03:15:42.993,339835,pickup,2,1
2024-04-29 03:28:45.702,335937,van,0,2
2024-04-29 03:55:04.645,ทห1490,taxi,0,0
2024-04-29 04:11:48.856,ฮง6151,van,1,0
2024-04-29 04:37:03.731,360080,pickup,4,2
2024-04-29 04:42:37.602,339833,pickup,10,5
2024-04-29 05:12:27.604,สก4166,bus,0,0
2024-04-29 05:16:06.347,329727,pickup,8,1
2024-04-29 05:25:26.998,สก1284,tuktuk,1,0
2024-04-29 05:42:07.490,สก2394,tuktuk,1,0
2024-04-29 05:42:14.328,สก2394,tuktuk,0,0
2024-04-29 05:46:23.862,ฮภ7006,pickup,8,0
2024-04-29 05:47:34.722,1นจ4052,pickup,0,2
2024-04-29 05:55:53.989,327705,motorbike,4,0
2024-04-29 06:04:01.179,324602,pickup,9,0
2024-04-29 06:10:06.403,339915,pickup,3,1
2024-04-29 06:35:12.763,ฮฉ6547,pickup,2,0
2024-04-29 06:41:02.508,ฮฐ4581,pickup,2,2
2024-04-29 06:43:06.473,315234,bus,0,0
2024-04-29 07:12:57.636,333915,pickup,0,0
2024-04-29 07:14:52.125,กก588,pickup,1,0
2024-04-29 07:20:07.523,344726,van,13,10
2024-04-29 07:27:14.008,ฮข1068,van,1,2
2024-04-29 07:29:11.095,421631,van,1,0
2024-04-29 07:33:30.307,550039,tuktuk,0,1
2024-04-29 07:35:29.477,317134,pickup,1,0
2024-04-29 07:44:26.811,1นก355,van,0,0
2024-04-29 07:45:29.877,สก323,tuktuk,1,0
2024-04-29 07:47:37.202,ฮท7763,bus,13,3
2024-04-29 07:53:27.468,320211,van,2,1
2024-04-29 08:03:35.305,344280,pickup,0,0
2024-04-29 08:12:06.412,345251,pickup,12,3
2024-04-29 08:27:58.955,344308,van,6,10
2024-04-29 08:31:21.623,345275,pickup,5,18
2024-04-29 08:42:56.196,327705,bus,10,4
2024-04-29 08:49:43.566,344992,sedan,0,0
2024-04-29 08:49:49.964,สก2763,tuktuk,2,1
2024-04-29 08:56:10.626,302422,van,2,3
2024-04-29 09:05:51.511,320434,pickup,2,3
2024-04-29 09:11:02.509,สก4165,tuktuk,2,1
2024-04-29 09:12:56.597,สก1157,tuktuk,0,0
2024-04-29 09:15:57.630,341406,pickup,0,0
2024-04-29 09:16:28.223,3กส2212,van,18,5
2024-04-29 09:25:44.513,ฮภ3643,pickup,1,1
2024-04-29 09:26:25.541,สศ1130,tuktuk,2,0
2024-04-29 09:45:44.513,1นจ6479,pickup,2,1
2024-04-29 10:04:37.449,สก2357,tuktuk,0,1
2024-04-29 10:06:04.107,สช851,tuktuk,3,2
2024-04-29 10:11:58.851,สก2879,tuktuk,1,1
2024-04-29 10:12:47.957,341520,bus,7,1
2024-04-29 10:16:53.334,สก570,tuktuk,0,2
2024-04-29 10:17:02.212,สก576,tuktuk,2,2
2024-04-29 10:17:09.210,สก570,tuktuk,1,3
2024-04-29 10:23:08.951,สก2879,tuktuk,0,0
2024-04-29 10:47:14.448,1นค8151,sedan,2,0
2024-04-29 10:50:16.241,7กม6762,pickup,1,3
2024-04-29 10:51:57.852,สก5815,tuktuk,0,0
2024-04-29 10:54:27.931,สก1568,tuktuk,0,0
2024-04-29 10:54:40.807,ส2595,tuktuk,0,1
2024-04-29 10:54:54.563,สก547,tuktuk,2,3
2024-04-29 11:10:42.393,สช598,tuktuk,1,0
2024-04-29 11:11:53.853,สก2879,tuktuk,4,3
2024-04-29 11:34:33.489,สก547,tuktuk,1,1
2024-04-29 11:35:30.239,330183,pickup,0,0
2024-04-29 11:40:21.000,สก350,tuktuk,1,0
2024-04-29 11:41:38.218,อก5,sedan,3,0
2024-04-29 11:43:13.472,สก1157,tuktuk,0,1
2024-04-29 11:52:30.723,330050,bus,2,0
2024-04-29 12:27:51.958,1นข6827,pickup,3,0
2024-04-29 12:30:10.242,208749,pickup,2,3
2024-04-29 12:49:33.609,333591,pickup,14,2
2024-04-29 13:04:08.017,สก4747,tuktuk,2,0
2024-04-29 13:05:07.003,521135,bus,2,2
2024-04-29 13:12:58.196,สข1856,other,0,0
2024-04-29 13:29:15.934,สช3494,taxi,1,0
2024-04-29 13:30:42.113,5กน1202,pickup,0,0
2024-04-29 13:35:17.521,กบ4275,pickup,0,0
2024-04-29 13:45:51.471,303381,taxi,2,0
2024-04-29 13:47:41.680,1ก7472,taxi,0,0
2024-04-29 13:48:39.304,13275,taxi,0,0
2024-04-29 13:57:33.203,1กย5532,other,1,4
2024-04-29 13:57:52.359,6กกกก01,tuktuk,0,2
2024-04-29 14:11:14.865,1กศ3350,taxi,1,0
2024-04-29 14:11:55.614,3ฬ5659,taxi,1,0
2024-04-29 14:13:34.588,105677,taxi,0,0
2024-04-29 14:14:34.929,ก0499,taxi,0,0
2024-04-29 14:14:58.923,1มข563,pickup,0,0
2024-04-29 14:15:39.875,ทช5229,other,0,0
2024-04-29 14:17:12.809,1มข1042,taxi,5,2
2024-04-29 14:25:20.241,30370,other,0,0
2024-04-29 14:26:44.737,กธ426,pickup,0,0
2024-04-29 14:28:34.065,บก755,other,3,0
2024-04-29 14:31:52.734,305072,pickup,0,0
2024-04-29 14:32:06.610,ทษ1715,pickup,1,0
2024-04-29 14:32:55.837,ก9072,other,0,1
2024-04-29 15:02:47.079,1กข4684,pickup,2,0
2024-04-29 15:03:17.310,2กบ4577,pickup,0,0
2024-04-29 02:09:47.564,5ขก9770,pickup,0,0
2024-04-29 03:54:55.922,ทห1490,pickup,9,6
2024-04-29 04:36:59.492,660080,pickup,1,0
2024-04-29 04:42:40.321,ฮย4188,pickup,0,1
2024-04-29 05:03:56.459,8กฐ6370,pickup,0,0
2024-04-29 05:16:04.507,329727,pickup,0,0
2024-04-29 05:40:11.881,1นก1502,van,10,0
2024-04-29 05:42:02.410,สก2394,tuktuk,2,0
2024-04-29 05:42:06.889,ฮภ7006,pickup,14,2
2024-04-29 05:47:31.682,1นจ4052,pickup,0,0
2024-04-29 05:55:49.751,327705,other,2,1
2024-04-29 06:03:57.938,324602,pickup,0,0
2024-04-29 06:18:03.433,สก2765,motorbike,0,0
2024-04-29 06:21:07.506,1นก3878,pickup,0,0
2024-04-29 06:26:48.095,ต8139,pickup,2,0
2024-04-29 06:35:09.643,ฮฉ6547,pickup,0,0
2024-04-29 07:01:02.108,สก5815,tuktuk,1,0
2024-04-29 07:20:05.125,344726,van,0,0
2024-04-29 07:21:37.379,360080,pickup,5,3
2024-04-29 07:25:13.882,ฮข1068,pickup,6,2
2024-04-29 07:33:25.707,ธ0019,tuktuk,2,0
2024-04-29 08:03:33.465,344280,pickup,0,0
2024-04-29 08:17:58.715,338313,pickup,0,0
2024-04-29 08:18:02.834,ก3113,truck,1,0
2024-04-29 08:29:14.094,345275,other,14,5
2024-04-29 08:31:39.497,333605,pickup,16,8
2024-04-29 08:56:07.106,302422,bus,1,0
2024-04-29 09:05:48.751,320434,pickup,0,0
2024-04-29 09:18:42.063,ฮภ3643,pickup,7,10
2024-04-29 10:04:34.328,สก2357,tuktuk,2,0
2024-04-29 10:06:01.987,สข851,tuktuk,2,0
2024-04-29 10:12:44.199,345520,pickup,0,2
2024-04-29 10:53:15.310,สก547,tuktuk,1,0
2024-04-29 10:54:39.047,สก5839,motorbike,1,0
2024-04-29 11:10:38.876,สช596,motorbike,0,1
2024-04-29 11:35:26.638,330183,sedan,0,0
2024-04-29 11:36:14.624,330226,pickup,0,0
2024-04-29 11:40:19.239,ทก2736,tuktuk,0,0
2024-04-29 11:52:26.844,338050,bus,0,0
2024-04-29 12:16:43.296,320708,other,30,2
2024-04-29 12:21:10.505,344341,van,4,12
2024-04-29 12:27:49.077,1ขข6627,pickup,0,0
2024-04-29 12:27:59.196,สก2879,tuktuk,0,0
2024-04-29 12:30:08.004,338441,bus,0,0
2024-04-29 12:33:37.464,สก2879,tuktuk,1,0
2024-04-29 12:49:30.089,333591,pickup,1,0
2024-04-29 12:49:40.327,สก2879,tuktuk,3,1
2024-04-29 13:05:03.885,333115,bus,0,0
2024-04-29 14:10:39.874,ฆข2251,hatchback,1,4
2024-04-29 15:13:13.271,1มก1302,pickup,1,0
